Window: 2023-04-01 to 2023-04-02, Duration: 155 ms, Throughput: 74561.29 messages/sec, 16259877.42 bytes/sec
Window: 2023-04-02 to 2023-04-03, Duration: 32 ms, Throughput: 365000.00 messages/sec, 79611750.00 bytes/sec
Window: 2023-04-03 to 2023-04-04, Duration: 28 ms, Throughput: 413535.71 messages/sec, 90182071.43 bytes/sec
Window: 2023-04-04 to 2023-04-05, Duration: 21 ms, Throughput: 550952.38 messages/sec, 120178380.95 bytes/sec
Window: 2023-04-05 to 2023-04-06, Duration: 12 ms, Throughput: 968416.67 messages/sec, 211182166.67 bytes/sec
Window: 2023-04-06 to 2023-04-07, Duration: 11 ms, Throughput: 1042181.82 messages/sec, 227316818.18 bytes/sec
Window: 2023-04-07 to 2023-04-08, Duration: 11 ms, Throughput: 1055727.27 messages/sec, 230271636.36 bytes/sec
Window: 2023-04-08 to 2023-04-09, Duration: 10 ms, Throughput: 1153700.00 messages/sec, 251720500.00 bytes/sec
Window: 2023-04-09 to 2023-04-10, Duration: 12 ms, Throughput: 960916.67 messages/sec, 209518833.33 bytes/sec
Window: 2023-04-10 to 2023-04-11, Duration: 11 ms, Throughput: 1055545.45 messages/sec, 230219000.00 bytes/sec
Window: 2023-04-11 to 2023-04-12, Duration: 11 ms, Throughput: 1055727.27 messages/sec, 230220909.09 bytes/sec
Window: 2023-04-12 to 2023-04-13, Duration: 16 ms, Throughput: 731812.50 messages/sec, 159637812.50 bytes/sec
Window: 2023-04-13 to 2023-04-14, Duration: 3 ms, Throughput: 1129666.67 messages/sec, 245575000.00 bytes/sec
Window: 2023-04-14 to 2023-04-15, Duration: 10 ms, Throughput: 1159100.00 messages/sec, 252819100.00 bytes/sec
Window: 2023-04-15 to 2023-04-16, Duration: 8 ms, Throughput: 1430625.00 messages/sec, 312110000.00 bytes/sec
Window: 2023-04-16 to 2023-04-17, Duration: 2 ms, Throughput: 1655000.00 messages/sec, 359690500.00 bytes/sec
Window: 2023-04-17 to 2023-04-18, Duration: 7 ms, Throughput: 1657571.43 messages/sec, 361522857.14 bytes/sec
Window: 2023-04-18 to 2023-04-19, Duration: 30 ms, Throughput: 382433.33 messages/sec, 83402066.67 bytes/sec
Window: 2023-04-19 to 2023-04-20, Duration: 8 ms, Throughput: 1461375.00 messages/sec, 318729250.00 bytes/sec
Window: 2023-04-20 to 2023-04-21, Duration: 9 ms, Throughput: 1290222.22 messages/sec, 281381333.33 bytes/sec
Window: 2023-04-21 to 2023-04-22, Duration: 12 ms, Throughput: 959333.33 messages/sec, 209239000.00 bytes/sec
Window: 2023-04-22 to 2023-04-23, Duration: 9 ms, Throughput: 1280333.33 messages/sec, 279236222.22 bytes/sec
Window: 2023-04-23 to 2023-04-24, Duration: 13 ms, Throughput: 894923.08 messages/sec, 195168538.46 bytes/sec
