Window: 1680307200000 to 1680393600000, Duration: 127 ms
Window: 1680393600000 to 1680480000000, Duration: 21 ms
Window: 1680480000000 to 1680566400000, Duration: 11 ms
Window: 1680566400000 to 1680652800000, Duration: 11 ms
Window: 1680652800000 to 1680739200000, Duration: 6 ms
Window: 1680739200000 to 1680825600000, Duration: 8 ms
Window: 1680825600000 to 1680912000000, Duration: 7 ms
Window: 1680912000000 to 1680998400000, Duration: 10 ms
Window: 1680998400000 to 1681084800000, Duration: 3 ms
Window: 1681084800000 to 1681171200000, Duration: 6 ms
Window: 1681171200000 to 1681257600000, Duration: 5 ms
Window: 1681257600000 to 1681344000000, Duration: 4 ms
Window: 1681344000000 to 1681430400000, Duration: 1 ms
Window: 1681430400000 to 1681516800000, Duration: 3 ms
Window: 1681516800000 to 1681603200000, Duration: 3 ms
Window: 1681603200000 to 1681689600000, Duration: 0 ms
Window: 1681689600000 to 1681776000000, Duration: 3 ms
Window: 1681776000000 to 1681862400000, Duration: 4 ms
Window: 1681862400000 to 1681948800000, Duration: 3 ms
Window: 1681948800000 to 1682035200000, Duration: 2 ms
Window: 1682035200000 to 1682121600000, Duration: 3 ms
Window: 1682121600000 to 1682208000000, Duration: 2 ms
Window: 1682208000000 to 1682294400000, Duration: 5 ms
