Window: 2023-04-01 00:00:00 to 2023-04-02 00:00:00, Duration: 79 ms, Throughput:75.94936708860759 message/sec, 12493.67088607595 bytes/sec
Window: 2023-04-02 00:00:00 to 2023-04-03 00:00:00, Duration: 4 ms, Throughput:2250.0 message/sec, 362500.0 bytes/sec
Window: 2023-04-03 00:00:00 to 2023-04-04 00:00:00, Duration: 2 ms, Throughput:2000.0 message/sec, 321000.0 bytes/sec
Window: 2023-04-04 00:00:00 to 2023-04-05 00:00:00, Duration: 3 ms, Throughput:3333.3333333333335 message/sec, 553000.0 bytes/sec
Window: 2023-04-05 00:00:00 to 2023-04-06 00:00:00, Duration: 2 ms, Throughput:9000.0 message/sec, 1459500.0 bytes/sec
Window: 2023-04-06 00:00:00 to 2023-04-07 00:00:00, Duration: 1 ms, Throughput:4000.0 message/sec, 650000.0 bytes/sec
Window: 2023-04-07 00:00:00 to 2023-04-08 00:00:00, Duration: 5 ms, Throughput:2400.0 message/sec, 391600.0 bytes/sec
Window: 2023-04-08 00:00:00 to 2023-04-09 00:00:00, Duration: 6 ms, Throughput:2000.0 message/sec, 329833.3333333333 bytes/sec
Window: 2023-04-09 00:00:00 to 2023-04-10 00:00:00, Duration: 3 ms, Throughput:3333.3333333333335 message/sec, 543666.6666666666 bytes/sec
Window: 2023-04-10 00:00:00 to 2023-04-11 00:00:00, Duration: 8 ms, Throughput:1250.0 message/sec, 206000.0 bytes/sec
Window: 2023-04-11 00:00:00 to 2023-04-12 00:00:00, Duration: 5 ms, Throughput:3400.0 message/sec, 547400.0 bytes/sec
Window: 2023-04-12 00:00:00 to 2023-04-13 00:00:00, Duration: 2 ms, Throughput:6500.0 message/sec, 1074000.0 bytes/sec
Window: 2023-04-13 00:00:00 to 2023-04-14 00:00:00, Duration: 1 ms, Throughput:5000.0 message/sec, 805000.0 bytes/sec
Window: 2023-04-14 00:00:00 to 2023-04-15 00:00:00, Duration: 15 ms, Throughput:1066.6666666666667 message/sec, 175866.6666666667 bytes/sec
Window: 2023-04-15 00:00:00 to 2023-04-16 00:00:00, Duration: 2 ms, Throughput:5500.0 message/sec, 908500.0 bytes/sec
Window: 2023-04-16 00:00:00 to 2023-04-17 00:00:00, Duration: 3 ms, Throughput:333.3333333333333 message/sec, 53000.0 bytes/sec
Window: 2023-04-17 00:00:00 to 2023-04-18 00:00:00, Duration: 1 ms, Throughput:13000.0 message/sec, 2158000.0 bytes/sec
Window: 2023-04-18 00:00:00 to 2023-04-19 00:00:00, Duration: 2 ms, Throughput:6500.0 message/sec, 1076500.0 bytes/sec
Window: 2023-04-19 00:00:00 to 2023-04-20 00:00:00, Duration: 10 ms, Throughput:1100.0 message/sec, 180900.0 bytes/sec
Window: 2023-04-20 00:00:00 to 2023-04-21 00:00:00, Duration: 2 ms, Throughput:6000.0 message/sec, 986500.0 bytes/sec
Window: 2023-04-21 00:00:00 to 2023-04-22 00:00:00, Duration: 4 ms, Throughput:2750.0 message/sec, 450750.0 bytes/sec
Window: 2023-04-22 00:00:00 to 2023-04-23 00:00:00, Duration: 1 ms, Throughput:7000.0 message/sec, 1138000.0 bytes/sec
